Zone_ID,Code_Zone,Latitude,Longitude,Type_Sol,Bassin_Versant,Type_Occupation_Sol,Altitude_m,Pluie_Annuelle_mm,Temperature_Moyenne_C,Pente_Terrain_pct,Distance_Cours_Eau_m,Surface_Bassin_km2,Impermeabilisation_pct,Humidite_Sol_pct,Distance_Drainage_m,Nb_Inondations_Historiques,Type_Climat,Alerte_Meteo,Niveau_Nappe_m,Observation_Terrain,Risque_Inondation
ZONE-1066,CZ388859,34.38925,-5.76448,Sableux,Nord,Industriel,5.9,6665,61.1,2.23,233.6,127.0,70.5,52.9,103,2,Mediterraneen,Oui,233.2,Ruissellement important,Risque
ZONE-1067,CZ384564,34.5317,-5.20782,Sableux,Nord,Agricole,5.9,4693,75.0,2.49,251.0,135.1,72.5,49.6,189,1,Humide,Oui,243.5,RAS,Pas_de_risque
ZONE-1068,CZ937831,35.31871,-4.70976,Alluvial,Nord,Foret,10.8,6078,25.2,1.02,44.5,94.1,50.7,,236,3,Mediterraneen,Non,41.4,Sol sature,Pas_de_risque
ZONE-1069,CZ354311,35.7978,-4.93503,Argileux,Ouest,Agricole,5.8,5101,82.9,5.49,356.2,119.8,65.2,55.9,135,3,Humide,Non,357.6,RAS,Risque
ZONE-1070,CZ941851,34.74433,-5.63585,Rocheux,Sud,Urbain,11.2,7923,49.2,2.58,390.3,161.0,89.1,51.9,253,2,Mediterraneen,Non,386.5,Ruissellement important,Risque
ZONE-1071,CZ244129,35.07911,-5.04411,Sableux,Nord,Agricole,7.4,7855,54.3,3.71,225.8,146.6,69.6,62.8,182,1,Humide,Non,,Zone humide,Risque
ZONE-1072,CZ646015,35.98362,-6.30164,Argileux,Est,Mixte,11.0,7227,75.1,6.84,404.3,202.3,109.2,40.7,224,3,Mediterraneen,Oui,399.3,RAS,Risque
ZONE-1073,CZ959877,34.43442,-6.22435,Alluvial,Est,Agricole,8.7,6743,33.1,1.79,54.6,172.4,94.5,54.7,208,5,Humide,Non,55.1,Drainage faible,Pas_de_risque
ZONE-1074,CZ793221,34.66848,-4.93021,Sableux,Est,Urbain,10.8,6455,65.4,2.13,256.6,135.3,74.4,48.2,261,4,Mediterraneen,Non,,,Risque
ZONE-1075,CZ146850,35.1311,-4.54071,Argileux,Ouest,Foret,8.5,6447,65.6,3.23,413.9,150.7,88.6,52.2,175,3,Mediterraneen,Non,424.4,,Risque
ZONE-1076,CZ641357,35.45902,-4.96897,Argileux,Nord,Industriel,2.2,7421,82.3,4.57,393.4,147.2,82.8,67.7,88,0,Mediterraneen,Non,385.1,Sol sature,Risque
ZONE-1077,CZ933731,35.81287,-6.22151,Rocheux,Nord,Mixte,7.2,4935,39.9,1.09,396.6,130.5,67.4,52.4,219,0,Humide,Non,,RAS,Pas_de_risque
ZONE-1078,CZ260372,34.36603,-6.45593,Argileux,Est,Urbain,8.5,9396,83.6,4.35,409.8,171.6,93.1,53.0,193,1,Mediterraneen,Non,,Ruissellement important,Pas_de_risque
ZONE-1079,CZ506140,34.92459,-5.67647,Argileux,Nord,Industriel,4.7,7280,76.3,5.63,403.2,124.2,73.6,58.6,110,0,Mediterraneen,Non,371.6,,Risque
ZONE-1080,CZ777623,35.11596,-5.39497,Rocheux,Sud,Mixte,7.7,7171,45.9,2.23,412.6,148.4,73.6,51.9,184,1,Mediterraneen,Non,,,Risque
ZONE-1081,CZ310545,35.71436,-4.68771,Sableux,Ouest,Foret,8.3,6222,60.6,3.72,231.4,118.5,60.7,51.3,241,4,Mediterraneen,Non,231.7,,Risque
ZONE-1082,CZ619165,35.64592,-6.08049,Argileux,Sud,Foret,11.3,6167,66.5,5.93,384.5,165.0,91.7,52.1,213,4,Mediterraneen,Non,372.1,,Risque
ZONE-1083,CZ205400,34.9007,-5.00235,Rocheux,Nord,Industriel,12.6,5656,43.9,0.52,397.5,140.7,78.7,42.3,193,3,Humide,Non,397.5,,Pas_de_risque
ZONE-1084,CZ198696,35.80722,-6.03447,Sableux,Est,Mixte,6.2,6066,61.5,2.26,235.6,89.4,50.9,48.8,147,1,Humide,Non,233.0,,Pas_de_risque
ZONE-1085,CZ565982,34.03601,-4.57438,Rocheux,Est,Agricole,9.4,7669,45.1,1.01,416.6,89.1,61.6,58.9,166,4,Humide,Non,407.5,,Risque
ZONE-1086,CZ572367,35.1467,-5.18235,Sableux,Est,Foret,3.4,6859,50.4,3.22,238.9,114.7,67.4,54.0,95,4,Mediterraneen,Non,228.1,,Risque
ZONE-1087,CZ607820,34.20845,-5.73098,Alluvial,Est,Urbain,8.2,8034,,2.28,40.8,140.3,69.7,50.5,206,3,Mediterraneen,Non,,RAS,Risque
ZONE-1088,CZ982470,35.68785,-5.93018,Alluvial,Nord,Agricole,10.0,6919,43.8,1.28,47.3,91.8,58.9,39.8,170,3,Mediterraneen,Non,,RAS,Risque
ZONE-1089,CZ303196,35.81522,-5.07193,Alluvial,Est,Foret,7.1,8072,40.3,0.9,46.7,134.0,68.4,53.1,233,2,Mediterraneen,Non,45.7,RAS,Pas_de_risque
ZONE-1090,CZ544865,35.33715,-5.14266,Argileux,Ouest,Industriel,7.9,4400,,5.21,385.0,56.8,36.5,53.9,226,0,Humide,Oui,373.5,RAS,Risque
ZONE-1091,CZ331496,35.70368,-5.6922,Alluvial,Est,Foret,8.8,5802,40.3,1.87,50.2,135.7,89.0,63.9,173,3,Mediterraneen,Non,,RAS,Pas_de_risque
ZONE-1092,CZ345404,34.69175,-6.19108,Argileux,Ouest,Agricole,8.3,5538,70.7,5.77,414.3,88.7,42.0,44.4,212,1,Humide,Non,,RAS,Pas_de_risque
ZONE-1093,CZ656066,34.74079,-5.75039,Sableux,Sud,Urbain,8.7,8924,73.8,2.89,248.2,184.7,102.4,52.9,117,1,Mediterraneen,Non,236.0,RAS,Risque
ZONE-1094,CZ493574,34.5405,-4.56717,Alluvial,Est,Industriel,3.2,3267,42.2,,48.7,103.6,48.8,54.8,127,1,Humide,Oui,50.2,RAS,Pas_de_risque
ZONE-1095,CZ512811,35.19824,-5.79308,Sableux,Nord,Foret,8.4,4734,69.0,2.28,219.2,147.0,75.7,53.6,237,2,Humide,Non,213.5,RAS,Pas_de_risque
ZONE-1096,CZ521614,34.88691,-5.29577,Argileux,Est,Foret,6.5,9500,,5.58,403.9,113.7,73.8,52.4,275,4,Mediterraneen,Non,385.8,,Risque
ZONE-1097,CZ841432,34.55752,-6.07859,Rocheux,Ouest,Urbain,7.0,8673,50.2,0.1,409.8,144.4,80.3,53.3,205,1,Mediterraneen,Non,,RAS,Risque
ZONE-1098,CZ259292,35.15408,-5.10449,Rocheux,Ouest,Urbain,7.2,4736,41.7,1.59,407.0,127.4,68.8,60.7,159,3,Humide,Non,391.8,Sol sature,Pas_de_risque
ZONE-1099,CZ222258,35.09796,-6.06145,Argileux,Ouest,,6.2,8016,60.3,4.71,417.7,171.4,92.8,53.6,103,1,Mediterraneen,Oui,403.0,Sol sature,Risque
ZONE-1100,CZ800769,34.56855,-6.23234,Argileux,Est,Urbain,0.5,5439,90.0,6.29,403.8,110.9,57.1,46.2,130,2,Humide,Non,399.8,RAS,Risque
ZONE-1101,CZ716410,34.08458,-5.37074,Rocheux,Nord,Agricole,9.1,6399,50.9,2.3,402.8,139.1,88.8,55.0,189,5,Mediterraneen,Non,386.3,Drainage faible,Risque
ZONE-1102,CZ389508,35.71791,-6.12795,Alluvial,Est,Urbain,7.0,7459,35.1,1.04,49.6,142.0,79.9,40.8,165,3,Mediterraneen,Non,46.7,Zone humide,Pas_de_risque
ZONE-1103,CZ549076,34.11618,-6.27698,Alluvial,Ouest,Urbain,10.4,5101,43.0,0.77,41.8,134.8,72.8,49.7,162,3,Humide,Non,43.2,RAS,Pas_de_risque
ZONE-1104,CZ214397,34.0339,-4.95968,Argileux,Ouest,Urbain,6.9,5907,46.4,4.57,443.4,157.2,87.4,54.2,165,3,Mediterraneen,Non,,Ruissellement important,Risque
ZONE-1105,CZ152428,35.87476,-5.29342,Argileux,Nord,Agricole,11.0,6129,78.3,3.33,431.9,186.0,100.1,71.9,210,4,Mediterraneen,Oui,429.9,Ruissellement important,Risque
ZONE-1106,CZ966792,34.93998,-4.71972,Rocheux,Sud,Urbain,7.6,5499,37.2,1.19,394.4,119.4,59.2,53.9,131,4,Humide,Non,,Ruissellement important,Pas_de_risque
ZONE-1107,CZ865419,35.05447,-5.71628,Rocheux,Est,Industriel,2.8,6264,41.1,2.13,409.8,147.2,80.2,64.0,126,3,Mediterraneen,Non,390.9,RAS,Risque
ZONE-1108,CZ599797,35.13017,-4.95675,Alluvial,Nord,Industriel,3.0,5800,51.1,0.65,48.8,103.4,55.1,58.1,111,2,Humide,Non,,Drainage faible,Pas_de_risque
ZONE-1109,CZ145740,34.5511,-5.25592,Rocheux,Ouest,Mixte,11.3,7503,46.4,0.84,390.9,151.3,87.1,45.8,320,2,Mediterraneen,Oui,371.6,RAS,Risque
ZONE-1110,CZ174601,34.8389,-4.93927,Argileux,Est,Agricole,5.5,4422,56.7,4.84,403.9,93.9,60.7,66.9,173,2,Humide,Non,417.0,,Risque
ZONE-1111,CZ525468,35.0934,-5.43596,Alluvial,Sud,Urbain,9.6,5087,39.6,1.07,42.4,119.2,66.8,57.2,163,3,Mediterraneen,Non,44.0,Ruissellement important,Pas_de_risque
ZONE-1112,CZ653172,35.96972,-4.9915,Sableux,Sud,Urbain,5.5,3869,55.8,2.2,244.6,128.6,72.8,57.9,116,2,Humide,Non,,,Pas_de_risque
ZONE-1113,CZ320357,34.36039,-6.30353,Sableux,Nord,Agricole,7.9,4926,70.2,1.68,203.1,135.5,74.5,61.4,179,2,Mediterraneen,Non,194.7,,Pas_de_risque
ZONE-1114,CZ905351,34.05039,-4.82201,Alluvial,Est,Mixte,9.8,4397,35.7,0.76,49.8,134.8,72.3,64.7,188,1,Humide,Non,50.1,Drainage faible,Pas_de_risque
ZONE-1115,CZ505105,34.62573,-4.62941,Rocheux,Est,Industriel,7.7,9500,48.1,2.42,365.0,167.7,94.2,39.4,186,3,Mediterraneen,Non,,Sol sature,Risque
ZONE-1116,CZ670508,34.74784,-4.6111,Alluvial,Ouest,Urbain,7.7,4368,33.0,0.76,53.0,92.9,44.8,49.9,147,2,Humide,Non,51.6,,Pas_de_risque
ZONE-1117,CZ450373,35.2614,-5.40079,Rocheux,Est,Urbain,8.8,6936,45.8,1.37,405.8,100.9,63.5,54.7,133,1,Humide,Non,400.7,,Pas_de_risque
ZONE-1118,CZ888245,35.76599,-6.09473,Alluvial,Est,Urbain,7.3,7441,40.2,0.87,54.0,179.3,93.0,60.1,113,4,Mediterraneen,Oui,,,Pas_de_risque
ZONE-1119,CZ823858,35.02545,-5.62323,Rocheux,Sud,Urbain,9.2,6988,50.9,1.53,410.8,135.3,67.3,54.9,206,4,Mediterraneen,Non,393.4,Zone humide,Risque
ZONE-1120,CZ377068,35.64597,-4.63458,Rocheux,Est,Foret,6.1,7542,48.1,1.38,388.2,116.3,69.7,47.2,156,3,Mediterraneen,Non,374.9,Zone humide,Risque
ZONE-1121,CZ834412,35.5702,-5.30231,Rocheux,Sud,Foret,6.4,9110,50.2,1.21,412.8,142.0,73.3,48.3,198,2,Mediterraneen,Non,408.1,,Risque
ZONE-1122,CZ944052,35.03001,-5.42889,Argileux,Sud,Urbain,6.1,9076,59.4,5.78,395.0,142.3,74.6,52.4,178,0,Mediterraneen,Non,394.7,,Risque
ZONE-1123,CZ123199,34.91838,-5.67781,Rocheux,Nord,Industriel,9.2,4465,50.0,2.12,378.8,89.2,53.6,50.4,166,4,Humide,Non,379.1,,Pas_de_risque
ZONE-1124,CZ894760,35.91973,-5.2674,Rocheux,Nord,Urbain,7.8,9468,44.0,1.71,388.3,135.2,74.5,47.3,122,0,Mediterraneen,Non,385.2,,Pas_de_risque
ZONE-1125,CZ211718,35.79135,-6.09137,Sableux,Sud,Foret,5.1,5895,42.9,2.8,233.9,123.2,74.1,50.6,118,1,Humide,Non,230.5,RAS,Pas_de_risque
ZONE-1126,CZ404359,34.1514,-5.72435,Sableux,Nord,Mixte,14.8,5754,75.7,3.6,233.4,182.1,99.1,60.7,226,3,Mediterraneen,Non,234.4,Ruissellement important,Risque
ZONE-1127,CZ395809,35.85858,-5.74155,Argileux,Sud,Urbain,3.8,7086,78.6,5.36,406.5,149.0,78.4,29.6,114,3,Mediterraneen,Non,397.6,RAS,Risque
ZONE-1128,CZ443615,35.51743,-5.30569,Rocheux,Sud,Urbain,8.3,7166,55.8,1.71,411.3,115.4,70.5,50.4,213,2,Humide,Non,415.6,Drainage faible,Risque
ZONE-1129,CZ307352,34.86217,-5.40131,Rocheux,Ouest,Foret,5.4,2989,40.4,2.25,381.2,131.4,67.2,58.0,167,3,Humide,Non,378.5,Sol sature,Pas_de_risque
ZONE-1130,CZ967196,34.0623,-5.98085,Argileux,Ouest,Foret,5.2,6407,61.9,5.64,372.5,164.2,85.4,59.8,176,1,Mediterraneen,Non,,,Risque
ZONE-1131,CZ301202,34.04485,-5.77915,Alluvial,Nord,Foret,4.0,8714,43.0,1.08,46.1,147.3,85.7,58.9,182,3,Mediterraneen,Oui,43.6,RAS,Risque
ZONE-1132,CZ737999,34.27687,-5.34232,Sableux,Nord,Urbain,8.2,7829,57.8,2.48,227.5,139.2,78.1,62.6,117,0,Mediterraneen,Non,,Drainage faible,Risque
ZONE-1133,CZ962034,35.29728,-5.94942,Rocheux,Ouest,Industriel,3.4,7383,53.8,1.77,410.4,174.2,97.2,51.4,178,2,Mediterraneen,Non,411.8,Drainage faible,Risque
ZONE-1134,CZ451193,35.40528,-6.36694,Rocheux,Ouest,Agricole,7.8,6505,50.5,1.47,402.5,111.8,73.2,41.6,193,6,Mediterraneen,Non,396.6,RAS,Pas_de_risque
ZONE-1135,CZ715324,35.63395,-4.79491,Argileux,Est,Industriel,4.3,6009,78.3,3.83,416.1,102.3,55.4,58.7,143,1,Humide,Non,411.6,RAS,Risque
ZONE-1136,CZ378495,34.71064,-5.15201,Argileux,Sud,Urbain,7.0,5186,67.1,4.46,395.4,134.6,75.1,53.4,196,1,Mediterraneen,Non,,RAS,Risque
ZONE-1137,CZ523350,35.96847,-5.70858,Alluvial,Nord,Industriel,6.1,4838,42.2,1.54,43.7,136.4,67.4,57.2,121,0,Humide,Oui,40.6,,Pas_de_risque
